"NEXTIME","1Time Airline"
"","Tianjin Airlines"
"","China United"
"LOCAIR","Locair"
"","Safi Airlines"
"SASQUATCH","SeaPort Airlines"
"","Salmon Air"
"","Bobb Air Freight"
"","Star1 Airlines"
"","Pelita"
"","Alaska Seaplane Service"
"ENERJET AIR","Enerjet"
"LINK","MexicanaLink"
"","Island Spirit"
"TACA PERU","TACA Peru"
"ORBEST","Orbest"
"","Southern Air Charter"
"Grenadines","SVG Air"
"","Air Century"
"PAWA","Pan Am World Airways Dominicana"
"PRIMERA","Primera Air"
"GREEN BIRD","Air Antilles Express"
"FLIGHT SOL","Sol Lineas Aereas"
"REGIOPAR","Regional Paraguaya"
"","VIP Ecuador"
"ANDINOS","Transportes Aereos Cielos Andinos"
"","Peruvian Airlines"
"EASYFLY","EasyFly"
"","Polar Airlines"
"CATOVAIR","Catovair"
"Andalus","Andalus Lineas Aereas"
"DUCARD","Air 26"
"MAURITANIA AIRWAYS","Mauritania Airways"
"CEIBA LINE","CEIBA Intercontinental"
"CREOLE","Halcyonair"
"AFRICAN BUSINESS","Business Aviation"
"AFRICOMPANY","Compagnie Africaine d\\'Aviation"
"ZAMBIA SKIES","Zambia Skyways"
"ALMASRIA","AlMasria Universal Airlines"
"EGYPTAIR EXPRESS","EgyptAir Express"
"","SmartLynx Airlines"
"","Air Italy Egypt"
"KORAL BLUE","KoralBlue Airlines"
"WIND ROSE","Wind Rose Aviation"
"","Elysian Airlines"
"SEVENAIR","Sevenair"
"IMPERIAL","Hellenic Imperial Airways"
"AMSTEL","Amsterdam Airlines"
"","Arik Niger"
"DANACO","Dana Air"
"SAOTOME AIRWAYS","STP Airways"
"FLYING CARPET","Med Airways"
"SKYJET","Skyjet Airlines"
"GOUMRAK","Air Volga"
"","Transavia Denmark"
"","Royal Falcon"
"GEO-LINE","Euroline"
"TURKU","Turkuaz Airlines"
"ATHENSAIR","Athens Airways"
"DELPHI","Viking Hellas"
"NORLAND","Norlandair"
"ELEGANT","Flugfelag Vestmannaeyja"
"ALUNK","Starline.kz"
"ENTERPRISE LUHANSK","Lugansk Airlines"
"","Gryphon Airlines"
"GADAIR","Gadair European Airlines"
"MANILA SKY","Spirit of Manila Airlines"
"CHONG QING","Chongqing Airlines"
"GRAND CHINA","Grand China Air"
"WEST CHINA","West Air China"
"","QatXpress"
"","OneChina"
"","NordStar Airlines"
"JOY AIR","Joy Air"
"ALLIED","Air India Regional"
"MDLR","MDLR Airlines"
"JAGSON","Jagson Airlines"
"ISLAND AVIATION","Maldivian"
"","Xpressair"
"","Strategic Airlines"
"FARS AIR","Fars Air Qeshm"
"","Eastok Avia"
"JUPITERAIR","Jupiter Airlines"
"","Vision Air International"
"","Al-Naser Airlines"
"FUJI DREAM","Fuji Dream Airlines"
"","Korea Express Air"
"EZNIS","Eznis Airways"
"KOROR","Pacific Flier"
"","Syrian Pearl Airlines"
"SIAM","SGA Airlines"
"","Air2there"
"Nova","Avianova (Russia)"
"IPV","Parmiss Airlines (IPV)"
"EuropeSky","EuropeSky"
"BRAZIL AIR","BRAZIL AIR"
"","Homer Air"
"","U.S. Air"
"","Jayrow"
"","Wilderness Air"
"","Whitaker Air"
"","PanAm World Airways"
"","Virginwings"
"KSY","KSY"
"","Buquebus Líneas Aéreas"
"SLOW FROG","SOCHI AIR"
"WIZZAIR UKRAINE","Wizz Air Ukraine"
"","88"
"","LCM AIRLINES"
"","Cambodia Angkor Air (K6)"
"","Royal European Airlines"
"T&","Tom\\'s & co airliners"
"","Azul"
"slowbird","LSM Airlines"
"","Zapolyarie Airlines"
"","Finlandian"
"LIX","LionXpress"
"","Genesis"
"EXPRESSWAYS","Congo Express"
"","Fly Dubai"
"Domenican","Domenican Airlines"
"ConneX","ConneX European Airline"
"","Aereonautica militare"
"","Kal Star Aviation"
"Moscow frog ","LSM AIRLINES "
"","UTair-Express"
"","Huaxia"
"Lakeair","Zabaykalskii Airlines"
"AIRMAX","CBM America"
"MARSHAK AIR","Marysya Airlines"
"","N1"
"","Airlink (SAA)"
"","Westfalia Express VA"
"","JobAir"
"Stallion","Black Stallion Airways"
"","German International Air Lines"
"","TrasBrasil"
"","TransBrasil Airlines"
"","China SSS"
"","AIR INDOCHINE"
"","Happy Air"
"Solar Air","Solar Air"
"Air Mekong","Air Mekong"
"","Harbour Air (Priv)"
"Air Hamburg","Air Hamburg (AHO)"
"BAIKAL ","ZABAIKAL AIRLINES"
"","TransHolding"
"","SUR Lineas Aereas"
"","Aerolineas Africanas"
"","Yeti Airways"
"YCS","Yellowstone Club Private Shuttle"
"","Caucasus Airlines"
"","Serbian Airlines"
"Winair","Windward Islands Airways"
"","TransHolding System"
"","CCML Airlines"
"","Small Planet Airlines"
"FBL","Fly Brasil"
"","CB Airways UK ( Interliging Flights )"
"","Fly Colombia ( Interliging Flights )"
"","Trans Pas Air"
"Air Minvody","KMV"
"Himalayan","Himalayan Airlines"
"Indya1","Indya Airline Group"
"sunwing","Sunwing"
"TWD","Turkish Wings Domestic"
"","Japan Regio"
"","OCEAN AIR CARGO"
"","Norte Lineas Aereas"
"","Austral Brasil"
"","PEGASUS AIRLINES-"
"","Nihon.jet connect"
"","Camair-co"
"Sky Regional","Sky Regional"
"moose","LSM International "
"","Baikotovitchestrian Airlines "
"russian sky","Luchsh Airlines "
"","ENTERair"
"Loadmaster","Air Cargo Germany"
"Mongol_AIr ","Mongolian International Air Lines "
"TWAY AIR","Tway Airlines"
"","Papillon Grand Canyon Helicopters"
"","Jusur airways"
"XB","NEXT Brasil"
"sovet","AeroWorld "
"","GNB Linhas Aereas"
"USKY","Usa Sky Cargo"
"HNX","Hankook Airline"
"","REDjet"
"","Red Jet Andes"
"","Red Jet Canada"
"","Sprintair"
"","Red Jet Mexico"
"snowball","Marusya Airways"
"ERAH","Era Alaska"
"russiancloud","AirRussia"
"","Hankook Air US"
"Smartwings","Carpatair Flight Training"
"RUSSIAN SKY","I-Fly"
"WHITEJET","Whitejets"
"Vickjet","VickJet"
"","BVI Airways"
"","Hamburg Airways"
"SALSA","Salsa d\\'Haiti"
"","Zambezi Airlines (ZMA)"
"Kan Air","Kan Air"
"Cudlua","Air Cudlua"
"","Polet Airlines (Priv)"
"","Air Explore"
"12N","12 North"
"","Holidays Czech Airlines"
"","Comtel Air"
"","Mint Airways"
"Orbit","Orbit Airlines"
"","Air Bucharest"
"","AlbaStar"
"","Mauritania Airlines International"
"","MAT Airways"
"Asian Star","Asian Wings Airways"
"","Air Arabia Egypt"
"EAGLES","Eagles Airlines"
"","YES Airways"
"","Alitalia Cityliner"
"","Direct Aero Services"
"MEDALS","Medallion Air"
"","Orchid Airlines"
"","Asia Wings"
"GEO-LINE","Georgian International Airlines"
"","Air Batumi"
"","Skywest Australia"
"NILEBIRD","Nile Air"
"","Feeder Airlines"
"","Senegal Airlines"
"","Fly 6ix"
"","Starbow Airlines"
"Copex","Copenhagen Express"
"","BusinessAir"
"","SENIC AIRLINES"
"","XOJET"
"","Sky Wing Pacific"
"","Bateleur Air"
"AIPL","Air Indus"
"OA","Orbit International Airlines"
"OA","Orbit Regional Airlines"
"","Orbit Atlantic Airways"
"Volotea","Volotea"
"Air Peach","Peach Aviation"
"","Helitt Líneas Aéreas"
"STATE AERO","Russia State Transport"
"MWI","Malaysia Wings"
"","Aviabus"
"MJG","Michael Airlines"
"KORONGO","Korongo Airlines"
"","Indonesia Sky"
"aws","Aws express"
"","Southjet"
"","Southjet connect"
"","Southjet cargo"
"","Iberia Express"
"INTERJET","Interjet (ABC Aerolineas)"
"","AirOnix"
"Nordic Global","Nordic Global Airlines"
"","Scoot"
"","Hi Fly (5K)"
"","China Northwest Airlines (WH)"
"ZENITH","Zenith International Airline"
"Orbitaz","Orbit Airlines Azerbaijan"
"ALPAV","Air Alps Aviation (A6)"
"Skippy","Flying kangaroo Airline"
"","RusJet"
"VIETJETAIR","VietJet Air"
"","Patriot Airways"
"RUBY","Vision Airlines (V2)"
"","BQB Lineas Aereas"
"WING ASIA","AirAsia Japan"
"","Yellowtail"
"RAW","Royal Airways"
"FLYHIRELAND","FlyHigh Airlines Ireland (FH)"
"","Executive AirShare"
"Hebei Air","Hebei Airlines"
"Air KBZ","Air KBZ"
"","Aero VIP (2D)"
"","Yangon Airways Ltd."
"T.J. Air","T.J. Air"
"SKYFOX","SkyWork Airlines "
"","Maastricht Airlines"
"","Euro Jet"
"","Ukraine Atlantic"
"Nesma Airlines","Nesma Airlines"
"EAST HORIZON","East Horizon"
"Air Majoro","Air Majoro"
"ROTANA","Rotana Jet"
"russian doll","SOCHI AIR CHATER"
"DNM","Denim Air "
"Malindo","Malindo Air"
"HERMES","Hermes Airlines"
"","Flightlink Tanzania"
"","IzAvia"
"","Катэкавиа"
"","Псковавиа"
"Maryland Flight","Maryland Air"
"","Insel Air (7I/INC) (Priv)"
"","VivaColombia"
"FINNCOMM","Flybe Finland Oy"
"","Bingo Airways"
"","Bluebird Airways (BZ)"
"APACHE","Apache Air"
"","MHS Aviation GmbH"
"JETHAPPY","Jettor Airlines"
"","Flyme (VP)"
"","Thai Lion Air"
"Golden Myanmar","Golden Myanmar Airlines"
"","Canaryfly"
"","Sunrise Airways"
"","National Air Cargo"
"EAVA","Eastern Atlantic Virtual Airlines"
"SUPERGREEN","Citilink Indonesia"
"","Transair"
"Comfort Express","Comfort Express Virtual Charters Albany"
"","Comfort Express Virtual Charters"
"Fast Jet","FLYJET"
"","Snowbird Airlines"
"","Russkie Krylya"
"","Kharkiv Airlines"
"XAIR","XAIR USA"
"","Air Costa"
"","Simrik Airlines"
"XPTO","XPTO"
"","Royal Flight"
"BBN","BBN-Airways"
"","Tomsk-Avia"
"","Malawian Airlines"
"","Yeti Airlines "
"","Avilu"
"AIR SERBIA","Air Serbia"
"Kocoglu","Skyline Ulasim Ticaret A.S."
"LITUANICA","Air Lituanica"
"Envoy","Envoy Air"
"","CARICOM AIRWAYS (BARBADOS) INC."
"Rainbow","Rainbow Air (RAI)"
"Rainbow CAN","Rainbow Air Canada"
"Rainbow Air","Rainbow Air Polynesia"
"Rainbow Air","Rainbow Air Euro"
"Rainbow Air","Rainbow Air US"
"","Transilvania"
"DOBROLET","Dobrolet"
"Spike Air","Spike Airlines"
"","Grand Cru Airlines"
"RELAX","Go2Sky"
"","All Argentina"
"","All America"
"","All Asia"
"","All Africa"
"","Regionalia México"
"","All Europe"
"","All Spain"
"","Regional Air Iceland"
"","Voestar"
"","All Colombia"
"","Regionalia Uruguay"
"","Regionalia Venezuela"
"","Regionalia Chile"
"","Vuela Cuba"
"","All Australia"
"","Fly Europa"
"FlyPortugal","FlyPortugal"
"","Spring Airlines Japan"
"DENSE","Dense Airways"
"DC2","Dense Connection"
"","Vuola Italia"
"Red Stripe","Jet Suite"
"Greenheart","Fly Jamaica Airways"
"Abby Air","Island Express Air"
"","All Argentina Express"
"THAI SMILE","Thai Smile Airways"
"","International AirLink"
"","Real Tonga"
"","All America AR"
"","All America CL"
"ADLER EXPRESS","SOCHI AIR EXPRESS"
"","All America BR"
"","Volotea Costa Rica"
"TENDER AIR","Fly Romania"
"","Eagle Atlantic Airlines"
"Fresh Express","Fly Africa Zimbabwe"
"FAREFLIGHT","San Dima Air"
"","All America CO"
"","All America MX"
"","FOX Linhas Aereas"
"","Air Kenya (Priv)"
"","Via Conectia Airlines"
"Hebradran","Hebradran Air Services"
"POBEDA","Pobeda"
"CITY AIR","City Airways"
"NORSTAR","Norwegian Long Haul AS"
"","BA101"
"TRANSNUSA","TransNusa Air"
"","Tomp Airlines"
"","Fuzhou Airlines"
"SKY ANGKOR","Sky Angkor Airlines (ZA)"
"","OneJet"
"","Global Airlines"
"MANN ROYAL","Mann Yadanarpon Airlines"
"","Air Vistara"
"","TransRussiaAirlines"
"","Severstal Air Company"
"Rexair","REXAIR VIRTUEL"
"Encore","WestJet Encore"
"","Air Pegasus"
"","International Europe"
"Maple","Sky Regional Airlines"
"","V Air"
"CELLOJET","Cello Aviation"
"","Pouya Air"
"","Boutique Air (Priv)"
"","FlyEgypt"
"","VOLOTEA Airways"
"","INAVIA Internacional"
"","Liberty Airways"
"","Аэросервис"
"Italian Airforce","Aeronautica Militare"
"5B","Bassaka airlines"
"ORANGE LINER","Jetstar Japan "
"TROPICAL SKY","SkyBahamas Airlines"
"","UVT Aero"
"","First Flying"
"Silver Wings","Silver Airways (3M)"
"Atlas Ukraine","AtlasGlobal Ukraine"
"BOLIVIANA","Boliviana de Aviacion (OB)"
"","US-Bangla Airlines"
"NORTRANS","Norwegian Air International (D8)"
"ATALAR","ATA Airlines (Iran)"
"","VIA Líneas Aéreas"
"","GermanXL"
"","Alghanim"
"Red Phoenix","Indonesa Air Aisa X"
"","Fly France"
"ENZO","Jota Aviation"
"","Europe Jet"
"COBALT","COBALT"
"LIGHTSPEED","Southern Airways Express"
"","Orenburzhie"
"","World Scale Airlines"
"","All America US"
"UAY","University of Birmingham Air Squadron (RAF)"
"","Choice Airways"
"","Aruba Airlines"
"","BudgetAir"
"","Dynamic Airways"
"","Fly One"
"REVAL","Nordica"
"","Tez Jet Airlines"
"","Kush Air"
"Stingray","ViaAir"
"BOPY","All America BOPY"
"THAIVIET JET","Thai Vietjet Air"
"SPRAY","GX Airlines"
"","Jetgo Australia"
"","Air Carnival"
"RussianConnecty","Svyaz Rossiya"
