"NEXTIME","1Time Airline"
"ARKEFLY","Arkefly"
"BALUS","Airlines PNG"
"CITRUS","AirTran Airways"
"TRANSAT","Air Transat"
"TWINARROW","Avialeasing Aviation Company"
"TYROLEAN","Tyrolean Airways"
"AEROGAL","Aerolineas Galapagos (Aerogal)"
"MIRNY","Alrosa Mirny Air Enterprise"
"SPEEDBIRD","British Airways"
"BANGLADESH","Biman Bangladesh Airlines"
"BELAIR","Belair Airlines"
"BAHAMAS","Bahamasair"
"","Balkan Bulgarian Airlines"
"BRINTEL","British International Helicopters"
"BAKERFLIGHT","BF-Lento OY"
"BANGKOK AIR","Bangkok Airways"
"BLUEFIN","Blue1"
"BALTIC AIRLINES","Baltic Airlines"
"BEARSKIN","Bearskin Lake Air Service"
"BELLVIEW AIRLINES","Bellview Airlines"
"MIDLAND","bmi"
"BABY","bmibaby"
"BEMIDJI","Bemidji Airlines"
"","British Midland Regional"
"BLUE PANOROMA","Blue Panorama Airlines"
"BASE","Budapest Aircraft Services/Manx2"
"BERING AIR","Bering Air"
"BRAZILIAN AIR FORCE","Brazilian Air Force"
"BELARUS AVIA","Belavia Belarusian Airlines"
"BATAVIA","Metro Batavia"
"BERJAYA","Berjaya Air"
"BLUE WINGS","Blue Wings"
"BRITAIR","Brit Air"
"BEE-LINE","Brussels Airlines"
"","Binter Canarias"
"BLUE TRANSPORT","Blue Air"
"BEE MED","British Mediterranean Airways"
"FLYING BULGARIA","Bulgaria Air"
"NORDFLIGHT","Barents AirLink"
"CAL","CAL Cargo Air Lines"
"CALIMA","Calima Aviacion"
"CANADIAN","Canadian Airlines"
"EMPRESS","Canadian North"
"CAIR","Cape Air"
"CARIBBEAN AIRLINES","Caribbean Airlines"
"CARPATAIR","Carpatair"
"CASPIAN","Caspian Airlines"
"CATHAY","Cathay Pacific"
"CAYMAN","Cayman Airways"
"CEBU AIR","Cebu Pacific"
"","Central Connect Airlines"
"CENTRALWINGS","Centralwings"
"CHARTER WIEN","Charter Air"
"CHAUTAUQUA","Chautauqua Airlines"
"DYNASTY","China Airlines"
"CHINA EASTERN","China Eastern Airlines"
"CHINA SOUTHERN","China Southern Airlines"
"LIANHANG","China United Airlines"
"YUNNAN","Yunnan Airlines"
"CIMBER","Cimber Air"
"CIRRUS AIR","Cirrus Airlines"
"SWEDESTAR","City Airline"
"CONNEXION","City Connexion Airlines"
"CITY-IRELAND","CityJet"
"FLYER","BA CityFlyer"
"CLICK AIR","Click Airways"
"U.S. Virgin Islands","Coastal Air"
"COLGAN","Colgan Air"
"COMAIR","Comair"
"COMMERCIAL","Comair"
"COMMUTAIR","CommutAir"
"CONTICOM","Comores Airlines"
"Compass Rose","Compass Airlines"
"CONDOR","Condor Flugdienst"
"AVIACSA","Consorcio Aviaxsa"
"CONTACTAIR","Contact Air"
"CONTINENTAL","Continental Airlines"
"JETLINK","Continental Express"
"AIR MIKE","Continental Micronesia"
"CONVIASA","Conviasa"
"COPA","Copa Airlines"
"COPTERLINE","Copterline"
"CORENDON","Corendon Airlines"
"CORSAIR","Corsairfly"
"CORSICA","Corse-Mediterranee"
"CREST","Crest Aviation"
"CROATIA","Croatia Airlines"
"CROWN AIRWAYS","Crown Airways"
"CUBANA","Cubana de Aviación"
"CYPRUS","Cyprus Airways"
"","Cyprus Turkish Airlines"
"CSA-LINES","Czech Airlines"
"DANISH","DAT Danish Air Transport"
"DALO AIRLINES","Daallo Airlines"
"DALAVIA","Dalavia"
"DARWIN","Darwin Airline"
"JET SERVICE","Delta Aerotaxi"
"DELTA","Delta Air Lines"
"DENIM","Denim Air"
"","Deutsche Bahn"
"DJIBOUTI AIR","Djibouti Airlines"
"DNIEPRO","Dniproavia"
"DOMINICANA","Dominicana de Aviaci"
"DOMODEDOVO","Domodedovo Airlines"
"DONBASS AERO","DonbassAero"
" Hong Kong Dragon Airlines","Dragonair"
"ROYAL BHUTAN","Druk Air"
"SEAGULL","Dubrovnik Air"
"DUTCH ANTILLES","Dutch Antilles Express"
"SPEEDWAY","dba"
"EVA","EVA Air"
"","Eagle Air"
"CRANE","East African"
"EASTFLIGHT","Eastern Airways"
"","Eastland Air"
"ECUAVIA","Ecuavia"
"EDELWEISS","Edelweiss Air"
"EGYPTAIR","Egyptair"
"ELAL","El Al Israel Airlines"
"BURAQAIR","El-Buraq Air Transport"
"EMIRATES","Emirates"
"ECUATORIANA","Empresa Ecuatoriana De Aviacion"
"ERITREAN","Eritrean Airlines"
"ESTONIAN","Estonian Air"
"ETHIOPIAN","Ethiopian Airlines"
"ETIHAD","Etihad Airways"
"","Euro Exec Express"
"EUROCYPRIA","Eurocypria Airlines"
"EUROFLY","Eurofly Service"
"EUROLOT","Eurolot"
"STAR WING","European Air Express"
"EUROWINGS","Eurowings"
"EVERGREEN","Evergreen International Airlines"
"EXPO","Excel Airways"
"HELI EXCEL","Excel Charter"
"LONGHORN","Express One International"
"JET LINK","ExpressJet"
"EASY","easyJet"
"Far Eastern","Far Eastern Air Transport"
"FINNAIR","Finnair"
"WESTBIRD","Finncomm Airlines"
"FIREFLY","Firefly"
"","First Air"
"JETSET","First Choice Airways"
"FLIGHTLINE","Flightline"
"FLO WEST","Florida West International Airways"
"XANADU","AirAsia X"
"LITHUANIA AIR","FlyLal"
"NORDIC","FlyNordic"
"BABOO","Flybaboo"
"JERSEY","Flybe"
"GLOBESPAN","Flyglobespan"
"FLY HIGH","Flyhy Cargo Airlines"
"","Formosa Airlines"
"FREEDOM","Freedom Air"
"FREEDOM AIR","Freedom Airlines"
"FRONTIER FLIGHT","Frontier Airlines"
"FRONTIER-AIR","Frontier Flying Service"
"GEEBEE AIRWAYS","GB Airways"
"INDONESIA","Garuda Indonesia"
"GAZPROMAVIA","Gazpromavia"
"TAMAZI","Georgian Airways"
"NATIONAL","Georgian National Airlines"
"GERMANIA","Germania"
"GERMAN WINGS","Germanwings"
"GHANA AIRLINES","Ghana International Airlines"
"GOAIR","Go Air"
"GATEWAY","GoJet Airlines"
"GOL TRANSPORTE","Gol Transportes Aéreos"
"GOLDEN","Golden Air"
"LAKES AIR","Great Lakes Airlines"
"TACA-COSTARICA","Grupo TACA"
"GULF AIR","Gulf Air"
"GULF BAHRAIN","Gulf Air Bahrain"
"GULF FLIGHT","Gulfstream International Airlines"
