"Atlantis European Airways",""
"Air Luxor","AIRLUXOR"
"Air Mauritius","AIRMAURITIUS"
"Air Madagascar","AIR MADAGASCAR"
"Air Moldova","AIR MOLDOVA"
"Air Plus Comet","RED COMET"
"Astair",""
"Aero Contractors","AEROLINE"
"Aeropelican Air Services","PELICAN"
"Aer Arann","AER ARANN"
"Air Austral","REUNION"
"Asian Spirit","ASIAN SPIRIT"
"Air Afrique","AIRAFRIC"
"Airlinair","AIRLINAIR"
"Aero Lanka","AERO LANKA"
"Air Salone","AIR SALONE"
"Armavia","ARMAVIA"
"AeroRep","AEROREPUBLICA"
"Aero-Service","CONGOSERV"
"Aerosur","AEROSUR"
"Aeronorte","LUZAVIA"
"Avient Aviation","AVAVIA"
"Aircompany Yakutia","AIR YAKUTIA"
"Aeromar","TRANS-AEROMAR"
"Arkefly","ARKEFLY"
"Airlines PNG","BALUS"
"AirTran Airways","CITRUS"
"Air Transat","TRANSAT"
"Avialeasing Aviation Company","TWINARROW"
"Tyrolean Airways","TYROLEAN"
"Aerolineas Galapagos (Aerogal)","AEROGAL"
"Alrosa Mirny Air Enterprise","MIRNY"
"British Airways","SPEEDBIRD"
"Biman Bangladesh Airlines","BANGLADESH"
"Belair Airlines","BELAIR"
"Bahamasair","BAHAMAS"
"Balkan Bulgarian Airlines",""
"British International Helicopters","BRINTEL"
"BF-Lento OY","BAKERFLIGHT"
"Bangkok Airways","BANGKOK AIR"
"Blue1","BLUEFIN"
"Baltic Airlines","BALTIC AIRLINES"
"Bearskin Lake Air Service","BEARSKIN"
"Bellview Airlines","BELLVIEW AIRLINES"
"bmi","MIDLAND"
"bmibaby","BABY"
"Bemidji Airlines","BEMIDJI"
"British Midland Regional",""
"Blue Panorama Airlines","BLUE PANOROMA"
"Budapest Aircraft Services/Manx2","BASE"
"Bering Air","BERING AIR"
"Brazilian Air Force","BRAZILIAN AIR FORCE"
"Belavia Belarusian Airlines","BELARUS AVIA"
"Metro Batavia","BATAVIA"
"Berjaya Air","BERJAYA"
"Blue Wings","BLUE WINGS"
"Brit Air","BRITAIR"
"Brussels Airlines","BEE-LINE"
"Binter Canarias",""
"Blue Air","BLUE TRANSPORT"
"British Mediterranean Airways","BEE MED"
"Bulgaria Air","FLYING BULGARIA"
"Barents AirLink","NORDFLIGHT"
"CAL Cargo Air Lines","CAL"
"Calima Aviacion","CALIMA"
"Canadian Airlines","CANADIAN"
"Canadian North","EMPRESS"
"Cape Air","CAIR"
"Caribbean Airlines","CARIBBEAN AIRLINES"
"Carpatair","CARPATAIR"
"Caspian Airlines","CASPIAN"
"Cathay Pacific","CATHAY"
"Cayman Airways","CAYMAN"
"Cebu Pacific","CEBU AIR"
"Central Connect Airlines",""
"Centralwings","CENTRALWINGS"
"Charter Air","CHARTER WIEN"
"Chautauqua Airlines","CHAUTAUQUA"
"China Airlines","DYNASTY"
"China Eastern Airlines","CHINA EASTERN"
"China Southern Airlines","CHINA SOUTHERN"
"China United Airlines","LIANHANG"
"Yunnan Airlines","YUNNAN"
"Cimber Air","CIMBER"
"Cirrus Airlines","CIRRUS AIR"
"City Airline","SWEDESTAR"
"City Connexion Airlines","CONNEXION"
"CityJet","CITY-IRELAND"
"BA CityFlyer","FLYER"
"Click Airways","CLICK AIR"
"Coastal Air","U.S. Virgin Islands"
"Colgan Air","COLGAN"
"Comair","COMAIR"
"Comair","COMMERCIAL"
"CommutAir","COMMUTAIR"
"Comores Airlines","CONTICOM"
"Compass Airlines","Compass Rose"
"Condor Flugdienst","CONDOR"
"Consorcio Aviaxsa","AVIACSA"
"Contact Air","CONTACTAIR"
"Continental Airlines","CONTINENTAL"
"Continental Express","JETLINK"
"Continental Micronesia","AIR MIKE"
"Conviasa","CONVIASA"
"Copa Airlines","COPA"
"Copterline","COPTERLINE"
"Corendon Airlines","CORENDON"
"Corsairfly","CORSAIR"
"Corse-Mediterranee","CORSICA"
"Crest Aviation","CREST"
"Croatia Airlines","CROATIA"
"Crown Airways","CROWN AIRWAYS"
"Cubana de Aviación","CUBANA"
"Cyprus Airways","CYPRUS"
"Cyprus Turkish Airlines",""
"Czech Airlines","CSA-LINES"
"DAT Danish Air Transport","DANISH"
"Daallo Airlines","DALO AIRLINES"
"Dalavia","DALAVIA"
"Darwin Airline","DARWIN"
"Delta Aerotaxi","JET SERVICE"
"Delta Air Lines","DELTA"
"Denim Air","DENIM"
"Deutsche Bahn",""
"Djibouti Airlines","DJIBOUTI AIR"
"Dniproavia","DNIEPRO"
"Dominicana de Aviaci","DOMINICANA"
"Domodedovo Airlines","DOMODEDOVO"
"DonbassAero","DONBASS AERO"
"Dragonair"," Hong Kong Dragon Airlines"
"Druk Air","ROYAL BHUTAN"
"Dubrovnik Air","SEAGULL"
